Min Age,Max Age,Gender,Smoker,Smoker Factor,Probability Of Dying,Total Risk
0.1,0.9,Female,N,0,0.0427,0.427
1,4,Female,N,0,0.014125,0.14125
5,9,Female,N,0,0.005794,0.05794
10,14,Female,N,0,0.004288,0.04288
15,19,Female,N,0,0.00709,0.0709
20,24,Female,N,0,0.009213,0.09213
25,29,Female,N,0,0.009251,0.09251
30,34,Female,N,0,0.010058,0.10058
35,39,Female,N,0,0.012028,0.12028
40,44,Female,N,0,0.014822,0.14822
45,49,Female,N,0,0.021673,0.21673
50,54,Female,N,0,0.032001,0.32001
55,59,Female,N,0,0.053344,0.53344
60,64,Female,N,0,0.090322,0.90322
65,69,Female,N,0,0.142488,1.42488
70,74,Female,N,0,0.223717,2.23717
75,79,Female,N,0,0.31471,3.1471
80,84,Female,N,0,0.431517,4.31517
85,89,Female,N,0,0.533739,5.33739
90,94,Female,N,0,0.642381,6.42381
95,99,Female,N,0,0.742819,7.42819
100,104,Female,N,0,1,10
0.1,0.9,Male,N,0,0.0421,0.421
1,4,Male,N,0,0.010589,0.10589
5,9,Male,N,0,0.005632,0.05632
10,14,Male,N,0,0.004253,0.04253
15,19,Male,N,0,0.006497,0.06497
20,24,Male,N,0,0.009562,0.09562
25,29,Male,N,0,0.011949,0.11949
30,34,Male,N,0,0.015323,0.15323
35,39,Male,N,0,0.021296,0.21296
40,44,Male,N,0,0.026884,0.26884
45,49,Male,N,0,0.03809,0.3809
50,54,Male,N,0,0.055091,0.55091
55,59,Male,N,0,0.081468,0.81468
60,64,Male,N,0,0.127803,1.27803
65,69,Male,N,0,0.193714,1.93714
70,74,Male,N,0,0.270076,2.70076
75,79,Male,N,0,0.372736,3.72736
80,84,Male,N,0,0.474186,4.74186
85,89,Male,N,0,0.563008,5.63008
90,94,Male,N,0,0.654269,6.54269
95,99,Male,N,0,0.738809,7.38809
100,104,Male,N,0,1,10
10,14,Female,Y,10,0.004288,10.04288
15,19,Female,Y,10,0.00709,10.0709
20,24,Female,Y,10,0.009213,10.09213
25,29,Female,Y,10,0.009251,10.09251
30,34,Female,Y,10,0.010058,10.10058
35,39,Female,Y,10,0.012028,10.12028
40,44,Female,Y,10,0.014822,10.14822
45,49,Female,Y,10,0.021673,10.21673
50,54,Female,Y,10,0.032001,10.32001
55,59,Female,Y,10,0.053344,10.53344
60,64,Female,Y,10,0.090322,10.90322
65,69,Female,Y,10,0.142488,11.42488
70,74,Female,Y,10,0.223717,12.23717
75,79,Female,Y,10,0.31471,13.1471
80,84,Female,Y,10,0.431517,14.31517
85,89,Female,Y,10,0.533739,15.33739
90,94,Female,Y,10,0.642381,16.42381
95,99,Female,Y,10,0.742819,17.42819
100,104,Female,Y,10,1,20
10,14,Male,Y,10,0.004253,10.04253
15,19,Male,Y,10,0.006497,10.06497
20,24,Male,Y,10,0.009562,10.09562
25,29,Male,Y,10,0.011949,10.11949
30,34,Male,Y,10,0.015323,10.15323
35,39,Male,Y,10,0.021296,10.21296
40,44,Male,Y,10,0.026884,10.26884
45,49,Male,Y,10,0.03809,10.3809
50,54,Male,Y,10,0.055091,10.55091
55,59,Male,Y,10,0.081468,10.81468
60,64,Male,Y,10,0.127803,11.27803
65,69,Male,Y,10,0.193714,11.93714
70,74,Male,Y,10,0.270076,12.70076
75,79,Male,Y,10,0.372736,13.72736
80,84,Male,Y,10,0.474186,14.74186
85,89,Male,Y,10,0.563008,15.63008
90,94,Male,Y,10,0.654269,16.54269
95,99,Male,Y,10,0.738809,17.38809
100,104,Male,Y,10,1,20
